Username,Username_Rating,Username_Review,Username_Verified,Username_Usefulness,Username_Date
kcd,4.0 out of 5 stars,"I'm a hobbyist musician and sound engineer of 20 years and also mild audiophile that builds my own speakers. I like to think I know a little bit about sound and what it takes to reproduce sound, but the tricky thing with headphones is that everybody's' ears are different. Like, they're physically slightly different which makes every single person hear the exact same sound slightly different, but there's also our individual listening preferences too, so keep that in mind as you read this review. Personally, I prefer smooth, balanced, and LOW bass (down to 20Hz), but NOT boomy bass. I also like some sparkle in the highs (8k+).
Initial impressions upon arrival and setup:
- The packaging looks like it's a cheap recycled cardboard of some sort. Obviously doesn't affect the headphone's performance.
- The zipable case the headphones live in also seem kinda cheap and flimsy. Again, it doesn't affect the headphone's performance.
- Accessories are fairly light as it only comes with a stubby little 8"" long (seriously) USB charging cable (not even a wall adapter, just USB A to USB C) and a generic 1/8"" stereo headphone cable if you want to physically plug them into a headphone jack.
- The app was easy to download, install, and update. It did require making a Sony account though, so points off for that.
- Pairing the headphones to my phone and also my computer was quick and seamless. I did have to restart my computer to get Windows to send audio over the bluetooth connection, but that was an issue with Windows and not the headphones.
- The headphones themselves feel of good quality and are super comfy for my average sized head.
- The EQ you set in the app does persist when you connect to a different sound source. For example, the EQ curve I set on my phone was not active when I then paired the headphones to my laptop and listened to the same track.
- Really needs more than 6 EQ points. Sony, you can do better than just 5 predefined sliders and a bass slider (basically 6 sliders, so IDK why the bass is separate from the rest).
Listening impressions:
- Best sounding headset I've purchased to date and sound MILES better than my Sennheiser HD 596 (but to be fair, those sounded ridiculously unnatural and just all-around terrible).
- Plenty of ""thump"" by default, but definitely dropping off significantly below 50Hz or so, which is exactly what I like to have present in my mix. You can see I've put a HUGE boost in the low lows on my EQ curve to make things like low synths, bass drops, and sub-harmonics sound even with the rest of the sound stage. Even still, the sub-bass that is there still sounds a bit thin and artificial like they're using some processing trickery to make it sound like it's playing lower than it is (there are a few ways to do this, but they're never as authentic as just reproducing the frequency properly).
- Little bit ""dark"" sounding, so a slight bump in the high mids as well as a 10k+ shelf bump really helped brighten up the sound stage.
- Imaging is ok but definitely not spectacular. It's only got a single 30mm driver per ear, so that one driver is covering EVERYTHING from 20Hz to 40kHz. As such, it's expected that imaging won't be super detailed, so no surprise there. I was really hoping to see at least 2 drivers per ear. By contrast, my CCA C12 in-ear-monitors (IEM's) that I use when playing on stage are about $50 and have 6 drivers PER EAR each playing a different frequency range. Needless to say, the imaging, and extension on those IEM's is a LOT better than these headphones that cost 7x the price. Due to their small form factor, IEM's can use armature drivers where 'can' style headphones like this can't use armature drivers (not loud enough), but I would still like to see 2 dynamic drivers in these just to allow one driver to focus on the highs and the other to focus on the lows rather than having the one driver trying to play the whole shebang.
- Minimal, but still present, ""pressure"" sensation when noise cancelling is on, but it's not intrusive like a lot of other ANC headphones I've tried and effectively disappears when music is playing. Having a set of ANC headphones with ""pressure"" that grabs my attention is an absolute deal-breaker for me regardless of price point.
Overall, these are going to be my go-to headphone for the office. They sound good enough (especially with some EQ), and are comfy enough, to have some background music playing for hours at a time while also cancelling out loud office talkers.",Verified Purchase,32 people found this helpful,"Reviewed in the United States on February 10, 2023"
Bast,5.0 out of 5 stars,"First off, I havent had a chance to test all functionality yet. I am coming here in hopes of helping someone else out with their frustration.
If you're nervous about dropping the money, do it. The app (if you let it) will track your usage. Get them, set an alert for a day or two before the return period is up. Try them out and then check your usage when the alarm goes off. If you need/use headphones I almost guarantee youre going to find these worth it.
RE: Small heads
Your head might not be too small. I realized after two days of use I was fitting them more like traditional headphones and they were siting on one or two lobes very slightly.
When you fit, and while you get used to putting them on, I suggest:
- lengthening the headand (as app suggests)
- 'scooping' your ears lobes up and inside the pads rather than under them at all
- then gently fitting headband
Once I started doing this my fit issues nearly dissappeared(hair..). Biggest issue now is the band material is not grippy at all and I have very smooth/slick hair, so it wiggles a bit. If I troubleshoot around this I will update.
Of note and Re:Sensitive Temples
These do not need to be as secure over all (other than having the suction over the ears) as you will not want these to get wet, period. These are not designed for exercise or heavy movement. They are sufficiently set for walking around or hanging out, this protects you from losing suction without significant pressure on your temples and keeps these super light headphones EXTREMELY comfortable. Which for someone like me that gets migraines with nearly ANY temple pressure has been... life changing.
The suction aspect for proper noise cancelation is fairly fundamental. It's an even bigger deal with these as they'll adjust sound and I could see if suction was lost at an inopportune moment it could be...uncomfortable.
RE: Hair
Y'all, your hair is going to need to be out of the way. I have already noticed that one or two small strands will absolutely affect the seal. I won't notice it immediately but when I move around or talk I'll notice a sound change (almost like a varying level of wubba womp like entering a tunnel or in elevation changes) and at the corresponding ear I'll find hair between my ear and headphones. If you experience this in one or both ears...check for anything preventing a seal! It's annoying to navigate but as with adjusting the fit as above the more I do it, the easier it is to do upfront/as second nature.
The app is fairly easy to navigate but has a small learning curve, nothing atronimical. The only other app ive used for headphones was Jabra about 2 years ago. Theyve likely updated since but compared to the 2020 Jabra app..this app is night and day better in terms of navigation and ease of use.
So far my only con has been switching between my TV and my phone. This could be me, I think this may just be a learning curve I havent yet had time to solve. What it was doing: Paired to both. Switched to phone to do some Duolingo. For some reason any adjustment i made unpaused my TV and swapped where the sound was coming from. When I re-paused my TV I'd have to reselect my phone..and then it would do this again. So for now Im just leaving the TV unpaired. I mostly dont need this anyway but thought it might be nice for my neighbors late at night.
Summation without even talking about its sound quality, noise cancelation and other functions (which are amazing):
These headphones are worth the price tag for the lack of weight on my temples ALONE. Everything else is icing on the cake.
If something changes I will absolutely return here to update.",Verified Purchase,53 people found this helpful,"Reviewed in the United States on January 18, 2023"
Richard Huynh,5.0 out of 5 stars,"I thoroughly enjoy what Sony has to offer in their product line. I have the PlayStation 5, a Sony Bravia 4K TV and several other Sony products. Yes although I have owned a few of their product line I will not try to be biased here with the review. What got me into Sony products was really their earphones dating back to 2011! They have the best earphones you could get for $20 back at the time in 2011 and now the quality they still continue to put out never disappoints! Here's the pros and cons of the Sony WH-1000XM5.
Update: I also picked up the XM4 Earbuds from Sony and take note that those are on a different level for listening to music compared to the XM5 Over the Ear headphones. Shares the same features like the XM5, not the same sound like over the ear obviously but also more marketed to those who goes to the gym and likes something more compact.
Pros:
Comfortable and lightweight!
I don't ever have a complaint with what they have to offer when it comes to comfort. These are better than BOSE in regards as to comfort. I think the one thing that makes them comfortable also is that they are light. They weigh only about 0.56 pounds! People tend to have problems with headphones if they are heavy in my opinion! I also assume they use a low density memory foam for cushioning which is great but will eventually need to be replaced or tended to if left compressed or squished for too long.
Unique features
Noise Cancelling is top notch but not much different than their previous lines in my opinion! It is a standard these days to get noise cancelling and the headphones are great for drowning out noise if need be. They also tend to those who need to be aware of their surroundings by implementing a ambient mode like previous models. Works great and works like a charm by either taking the headphones off or covering the touch control panel. Also the Speak to Pause Music feature is insanely nice to have! Helps when your hands are busy and or you just don't want to adjust your headphones having to speak.
Superb sound!
The sound quality out of these are amazing! Does really well in all areas of music genres. Particularly really in low frequencies for bass! I get to enjoy these at a great volume and it pairs amazingly with my PS5 as a gaming headset! (Will mention the headphones does not come with a microphone for gaming when using a headphone jack.) As a pair of noise cancelling headphones, you can expect to hear a positively good detail in music, movies, gaming or even a phone call! They are clear and surprisingly really balanced. The microphone on these headphones for phone calls are great. Better than the previous versions.
Fast charging!
The charging rate of these headphones is incredible! I never knew how fast charging can be with this! There's times I have left this powered on overnight as I'm at work for my 10 hour job and it was drained by the time I wanted to use it again. In those times I left it charging and goodness greatness these were ready to go in a about 10-15 minutes! I enjoy these so much that I'm actually glad they have a 24-30 hour battery life.
Cons:
Cost.
Its expensive! If you can get these on sale, it's worthwhile! If it's in your budget go for it! You pay for what you get in my opinion and these are worth their weight in gold!
Fitment.
They don't exactly fit around my short wide neck whenever I need to take it off and be present in a conversation or in my surroundings. Not exactly a big matter or deal breaker. More so it's a personal perspective. My neck size is 15 ¾ inches in circumference and that's pretty average I believe. I have to extend these in order to keep them around my neck without compromise. They also do not fold inward like the previous Sony headphone models but again never a issue.
Cushion. Yes the ear cup cushions are comfortable but again when I place them around my neck it compresses the cushion to a point where it feels awkward after putting it back on. I'm looking at other options to replace their soft fit leather design.
Update: There is different earcups that you can replace the OEM cups with but it comes at a cost of I believe $60 which is worth noting.
Conclusion.
Worthiness of $350+ (price as of 12/07/2022) during the holidays? Yes!
Personal opinionated review:
Sony WH-1000XM5 or other leading competition? Sony, easily Sony. I've never been unhappy about this purchase and I tell people that Sony is industrial leading company that continues to impress people when it comes to their headphones. Beats by Dre(Apple), Apple and Bose has always been great by popularity but Sony gets appraised by quality!
I will update this review as I go until they put a new model out.",Verified Purchase,71 people found this helpful,"Reviewed in the United States on November 24, 2022"
mhans311,4.0 out of 5 stars,"I have used Bose NC700 for the past year, but saw these on sale for a great price and decided to try them. I had the XM4’s for a short time but had to return them because they were too creaky while wearing them. Luckily I have not had that same issue so far with the XM5’s. My biggest priorities for headphones is comfort, sound quality (both for music and phone calls), and noise cancellation.
Comfort
The XM5’s have ear cups that are slightly larger than the XM4s and they also look slightly larger than the NC700s. This helps them go over the ears better. However, the NC700s have slightly thicker padding which makes the inside of the cup a little deeper. For this reason, I would say that the NC700s are a bit more comfortable for long periods. The XM5s are very comfortable, but after a couple of hours, I definitely start to feel them more than the NC700s. But both are great.
Sound Quality
This is a matter of preference, but I prefer the deeper bass and fuller sound of the XM5s. I would say the NC700s have a more balanced sound, with far less low end. The XM5s really give a nice full bass, without it being over-bearing. I do prefer a bit more lower end than what the Bose provides. So for me, I prefer the sound quality of the XM5s quite a bit more than the NC700s.
Call Quality
I use my headphones for work calls several hours a day. Both the XM5 and the NC700 have great call quality and will work really well if you use them for phone calls or Zoom meetings a lot. I think I’d give the edge to the XM5s because they block out ambient noise slightly better than the NC700s, but the difference is negligible.
Noise Cancellation
I mean, these are high end headphones and both do a great job with noise cancellation. I will say, I was surprised at how much noise the XM5s can block out. They block out voices and medium pitched noises better than the NC700s. They are both great with lower pitched things like plane noise. But I think the XM5s do a better job overall.
Build Quality and Design
This is where the Bose NC700s are just better than the XM5s. The build of the NC700s is just beautiful. They feel substantial without being too heavy, and there isn’t a seam anywhere. I also think they just look amazing. The XM5s do have seams around the ear cups and they feel much more plasticky. The XM5s are not bad, but they just are not as good as the NC700s as far as design and build quality.
Battery Life
The battery on the NC700 lasts me around 13 or 14 hours. The XM5s last around 25 hours. So it’s a pretty big difference. Charging speed seems about the same with both.
Odds and Ends
Features of each are similar. They both offer pass through audio and it works well on both. Touch controls work equally well on both. The case of the XM5s is a little bigger than the NC700s, if that matters to you. One small difference that may make a difference to some is that if you want to use the cord to plug them into a 3.5mm headphone jack, the end the plugs into the NC700s is 2.5mm. So if you lose the included cord, you will need a specific type of aux cord to replace it (2.5mm to 3.5mm). Whereas the XM5 uses a regular 3.5mm to 3.5mm aux cord.
Overall I do like these Sonys better. I just wish they had the comfort and build quality of the Bose. But because of the superior noise cancellation and sound quality, I’m going to be using the Sonys from now on.",Verified Purchase,41 people found this helpful,"Reviewed in the United States on February 4, 2023"
Fresh and Felicia,5.0 out of 5 stars,"I own Sony’s WH-1000 XM4s and the Bose 700s, two of the leading models in the industry. I had AirPods Max for a minute, but I rage-sold them. To me, the Sony and Bose are both awesome headsets. So I was psyched to hear Sony was releasing XM5s. Summer’s here, and these can get a little hot on hot days outdoors. It’s like wearing earmuffs on the beach. But, if you can get past a little sweaty ears, or if you use them indoors or on airplanes, you should be a little excited.
The Sony WH-1000XM5 headphones feature, what Sony advertises, “industry-leading noise cancellation.” And they ain’t lyin. With Bluetooth 5.2 and Sony's QN1 and V1 chips, the XM5s have DUAL processors - compared to the lonely single processor of the XM4. These two processors control 8 microphones for crazy accurate noise cancellation. Think - a little computer actually sampling noise from fans, airplane engines, air conditioners, motors, and consistent noise like that - and creates an identical but perfect opposite wave, so they kinda cancel each other out. And this time, the dual processors are capable of filtering higher frequency sounds, including some voices. It’s pretty cool tech. The first time you hear this, it’s like magic! In my video review, you can see my personal reaction.
With the XM5s, noise canceling is automatically optimized based on your wearing conditions and environment. You don’t have to do anything. It knows if you’re sitting, walking, in an airplane, et cetera.
No, noise reduction probably won’t completely cancel a very loud angry spouse, or a crying baby. But the over the ear closed design may help dull annoying sounds.
A very small cadre of people claim they become nauseous using noise cancelling headphones, and especially the old model XM4s. I’ve never experienced this personally, but be aware it could happen. You can disable it if you need to. Some people thought the WH-1000XM4s were too snug. I thought they felt great, but they’ve improved the fit with a new lightweight design with soft-fit leather. This material fits snugly but with less pressure on your ears while still keeping out the external sounds you don’t want to hear.
There were a few other design changes – the XM5s aren’t foldable like the XM4s, and there’s a redesigned case that’s collapsible to save room in your bag when you’re wearing your headphones.
With up to 30 hours of battery life, you’ll have enough power to travel halfway to the moon in one of Elon Musk’s rockets. But, in case you forgot to charge and you’re in a hurry, you can get 3 hours' worth of charge after just 3 minutes with an optional AC adapter.
And unfortunately, the in-flight plug adapter is not included in the supplied accessories this time. But who uses that anyway? That’s so old school! Fortunately, there still is an aux-in for you old-school holdouts.
The touch controls survived, where you can pause/play/skip tracks, control volume, activate your voice assistant, and answer phone calls. And the speak to chat lives also, where as soon as you start a conversation, Speak-to-Chat automatically stops your music and lets in ambient sound. And wear detection knows when you take them off.
But – how do they sound?
Sony has popped new, more rigid, 30mm carbon fiber drivers in the XM5s. They have more of an audiophile sound profile with slightly more balanced sound, better clarity, and more accurate bass. That’s important if you listen to real music, you know, with actual instruments, like rock, jazz, r and b, country, classical, and music like that. The XM4s have 40mm drivers, which will probably be better for hip-hop. The XM5s will reproduce hip-hop very accurately, meaning the way the studio producer intended you to hear it, but they probably won’t have the head-vibrating tinnitus-inducing bass many people want. TBH that's hard to find in any headphone due to physics.
The XM5s support LDAC and spatial 3D audio, whatever that is, and they have also upgraded their Sony Music Studios Edge-AI music algorithm, which somehow magically guesses what musical dynamics were lost during compression and tries to replace that, so everything sounds crisp and clean without losing the bass that’s necessary in most of today’s popular music.
I have heard some folks claimed the MX4s sounded “muddy” with some music. I didn’t notice that, but I’m a producer and I’m familiar with equalization. There are about 20 presets including several you can create yourself.
And even without the Qualcomm APTX Low Latency chip, both my XM4s and XM5s allowed me to watch a complete movie on Netflix on my 2022 Samsung Frame television, wirelessly, from 10-plus feet away, with ZERO loss in mouth synchronization. Plus, like my XM4s, the XM5s still have dual Bluetooth pairing so you can pair them with two devices at the same time and switch back and forth between them. It's a pretty cool feature if you use them for your phone, but also want to use them to watch YouTube videos at work on your computer. But, you probably shouldn’t tell your boss about that.
And the XM5s work with Google Assist, Alexa, and Siri. You can even set up Spotify playback with a few taps. Try that on your Air Pods Max.
The big win seems to be a vast improvement in the sound of your voice during phone calls quality. They’re actually impressive when it comes to calling in louder rooms. I’ve made test calls on busy streets and on windy sidewalks, and my call-ee said she couldn’t tell I was actually outdoors. Apparently, the four beam-forming microphones and the dual-processor software can recognize your voice and somehow block a lot of background noise. I mean, you can still probably hear tire screeches, gunshots, and car alarms, things you’ll typically hear in the city. But a lot of the noise is just gone. Like magic!
Oh – and there’s Speak to Chat. You start speaking, and the XM5s automatically adjust noise cancellation to pick up the voices of other people. No buttons, no fumbling with your phone. That’s a pretty cool feature.
So are they worth the upgrade? If you have XM4s and you think your call quality is shaky, then grab some XM5s and sell your sweaty old XM4s on Craigslist. If you’re moving from Bose's Noise Canceling 700 or QuietComfort 45s, the new dual processors and 8 microphone array will provide some noticeable improvements, plus the dual Bluetooth sync, so they’re probably worth looking into. If you’re done with your Air Pods Max and prefer better compatibility with non-Apple stuff including android phones, PCs, and Sony or Samsung Smart TVs, it’s a no-brainer.",Verified Purchase,768 people found this helpful,"Reviewed in the United States on May 24, 2022"
Worm,4.0 out of 5 stars,"If you want 100% Noise Cancellation, use ear plugs that are made for it not a pair of Bluetooth Headphones. Does it work great if you’re playing music or something, yeah. Having Noise Cancellation with music playing does help focus more on the songs. I wouldn’t rate the “Surround Sound”/360 audio as mind blowing, but it does the job. That being said, it’s amazing how clear some sounds can be, such as in Call of Duty… or Minecraft. Zero disappointment if you want clear audio since the ear cushion works wonders (Not sure how long they will last though). As for charging and using the audio Jack at the same time since Bluetooth doesn’t work while it’s charging, I found it a horrible experience. Just get a good charging brick, a decent length usb-c cable and charge the thing once it reaches 20%. Go eat, take a walk or do it in your sleep but that battery wasn’t lying about being able to reach 30 hours. Though I would only limit it to 20-24 hours before checking the battery limit by pressing the power button again and hearing it tell you the power level. I don’t plan on killing the battery health and you should too for this price point. As for the range, Bluetooth 5 is impeccable especially with a quality device and limited walls between you, your pc and the kitchen. As for volume control, it changes it by small increment, though holding on to the right pad with your palm does activate transparency mode and lower the volume so you can hear someone talk. Downloading the app will show you a few things btw. It’s just a little overpriced by maybe $80 bucks, but you can’t deny the microphone quality. It’s quite good on mobile but if you use OBS to record there is always that noise. That being said, it does isolate my voice quite well in a loud environment and the Noise Cancellation keeps me from hearing anyone talk though to how high I have the volume playing my content to immerse myself. But like I said, without any content playing you can still hear stuff through the noise cancellation but once you play something else on top it’s gold. If there was once feature they should’ve added it would be dual control on both ear cuffs instead of just the right. I’m not left handed but it would increase usability since I don’t always get the action I want done though to me lying down or whatnot and my hand gesture was a little off from the four main directions. Also can we get a PC App or settings? I hate having to use my phone to change a few things such as the level of noise cancellation or shutting off/on the gesture control. There are times when I forget to turn them back on and when I switch to PC/Mac I have to go back to my phone to turn those controls back on. If there is a desktop App, me not so bright. That being said, it’s a good product, just a tad overpriced. Let’s see how long I can keep it alive.",Verified Purchase,8 people found this helpful,"Reviewed in the United States on January 16, 2023"
Laurent Park,4.0 out of 5 stars,"I got this looking for a replacement for my AirPod Pros -- I would use them for work calls and for listening. My airpods were great for comfort,, but terrible for a full day of work, and the mic quality was not great for call applications that I use.
So I did some research between these headphones and other over-ear headphones like AirPod Maxes, Bose QC. I was mainly deciding between these and the AirPods since I use entirely Apple devices and went with the Sony's for price and supposedly good comfort.
So here are my pros/cons after about 3 months with these:
Pros:
- I have a huge head and I generally have stayed away from over ear headphones for long periods of listening. These are inarguably the most comfortable headphones I have ever used. I am able to last a full 8 hour office job wearing these without too much sweat or heat, and the pressure is perfect. No headaches from wearing them all day, and it's overall been absolutely perfect. In comparison to the AirPods maxes (that I used for a day from my partner) that gave me an incredibly painful headache from the pressure after an hour of use.
- Battery life / charging is amazing. 30 hours may be the industry standard but whenever I'm low, I just give it a charge for five minutes and I'm basically good for the next few hours.
Cons:
- I listen to a variety of music from hip hop and mostly electronic music. For songs with more emphasis on acoustics and vocals, the headphones are pretty good. However for my electronic library it leaves a bit to be desired. The bass and sometimes mids feel very muddy, and no amount of EQ I use can get it to where I like for all my music. This is where AirPods Maxes shine out. They may be 200$ more but they are inarguably better sounding with their adaptive EQ.
- Not really at any fault of Sony's, but if you use Apple products you can't use the LDAC codec at all. You are missing out on a better sound quality on Apple, and can only really use LDAC with Android.",Verified Purchase,2 people found this helpful,"Reviewed in the United States on February 4, 2023"
Miki Villarreal,5.0 out of 5 stars,"I have been looking for some good over the ear headphones and seen so many good reviews of these. I decided to try them out and these are some amazing head phones! I recently had to travel and ended up wearing them for 6 hours straight!
Battery life: The battery was full and by the end of my travel it dropped to 85% so the battery life is outstanding.
Noise cancellation: It was really good and didn’t create too much pressure while on. Even when the headphones were off it did an amazing job of damping outside noise. Ex: I was by a VERY loud construction site and once I put on the headphones (turned off) it almost dampened the noise completely.
Ambient Mode: It’s nice, I will say that in some cases I didn’t really use it. For example if you are in a loud environment it will be extremely loud while on. Which makes sense as the point of AMB is to be aware of your surroundings but if you have sensory issues I would be mindful of it. When you do the quick ambient sound it’s really good and makes what you need to hear very clear. There is very little static noise but if you are listening closely it’s very faint.
Comfort: These are so comfortable and lightweight. Part of the reason I was having difficulty choosing over the ear headphones was because many were too heavy for my liking but when I wore these I forgot I had them on. I only had to adjust them once when it hit closer to the 5 hour mark. There is very little discomfort. My only thing is being that they are so light it feels like they can slip off easily sometimes. When you have them laying on your neck it can be a little uncomfortable at least for me. They landed on my collarbones so there was just hard plastic hitting my collarbones over a bit of time. But that is just me nit picking.
Few set backs: the storage of them is a little inconvenient or undesirable. I wish these could fold because the case is quite large and take ups a lot of space especially when you are traveling.
Overall: I have really enjoyed the experience with these headphones! I would really recommend these to someone who has auditory sensitivity like myself because they check a lot of boxes! There are only a few things that I wasn’t a huge fan of but that was like I said me nit picking.
A video that was very helpful in making this decision was by: This is Tech Today on YouTube, they really went in-depth of all the features while also comparing it to different nc/amb headphones!",Verified Purchase,24 people found this helpful,"Reviewed in the United States on December 21, 2022"
Brandi J.,5.0 out of 5 stars,"I went ahead and splurged on these around 3 to 6 months ago after I stepped on my XM3s in the dark and cracked the band mechanism. I do not regret my purchase at all; these cans produce such rich and full-bodied bass-enhanced sound that I can't leave a room in my house without bringing them with me.. in case I need awesome music for a bit.
Funny story.. I thought the noise-canceling was just kind of mediocre this whole time, especially when I was flying back from visiting my parents and using them on a plane. The trick is to quickly press the second button toward the back on the left earpiece to activate noise-canceling. It was like the angels sang when I did that.. suddenly the music was so clear and rich, the plane noises virtually eliminated. Duh. So if you own these or are thinking about it, don't forget that tip!
As I mentioned, I've owned the older XM3 model for quite a few years now and loved them; these XM5s are even better and I love them for all music listening occasions. They're a little bassier than the XM3s, definitely a step further on that front. I happen to like bass (not muddied, just ""full"" and well-rounded), and these deliver. The highs and mids never seem to suffer either, though! A lot of it depends on fooling with your app's EQ settings, too. So don't be afraid to experiment!
Great headphones and, if you have the money to splurge, they're worth it!
♫/♥︎/♫",Verified Purchase,One person found this helpful,"Reviewed in the United States on February 1, 2023"
Blayre C.,5.0 out of 5 stars,"If you're thinking about buying a pair of great over-ear headphones without jumping on the air max ""trendy"" bandwagon, then you found them. These are FANTASTIC. I have used these every day since buying them 5 months ago - at the gym, at home, for work calls, etc. and they have met all my expectations. The noise canceling is fantastic, almost too good sometimes. The fit is SO comfortable and lightweight you could wear them for hours without having any ear pain (I've literally fallen asleep wearing them). I wear them to the gym to weightlift and sweat a normal amount, and have had no issues so far. Might not be something you want to do intense jumping or HIIT workouts in, since they do move around a bit - but that goes for ALL over ear headphones. Running with them on was no problem.
When looking to make an investment in a pair of headphones I went in-person to Best Buy and tried these compared to the Apple Air Max and these won by a long shot. Sure, ascetically the air max's look nice and they are definitely the ""it-girl"" accessory right now but the quality of sound and the weight/comfort of these truly is just so much better. Only thing I agree with is they are a finger-print magnet but be good about cleaning your devices and its not an issue. The volume control / change song features on the ear cups is also something that takes some getting use to but I use my phone or apple watch to change those settings anyways so I don't find it to be an issue that impacts its quality.
Overall, would recommend to anyone.",Verified Purchase,7 people found this helpful,"Reviewed in the United States on February 3, 2023"
